Observation Number, Case 0, Case 1, Case 2, Case 3, Case 4
1,246868,24984,25355,14554,14963
2,243842,24831,22480,14551,15050
3,251215,24928,21235,14822,15249
4,253243,25024,30394,14230,15035
5,252505,24732,25885,15260,15132
6,254261,25046,22701,14444,15810
7,249838,24886,24603,14798,15222
8,256927,24980,23315,15738,15637
9,250302,24777,25606,14564,17026
10,254048,24907,27820,14216,16055
11,253629,24875,30173,15020,15942
12,255750,24830,23663,14503,15307
13,248493,24903,26490,14585,15022
14,243648,24775,22124,14751,16454
15,257179,24807,21728,14617,15236
16,248657,24996,23769,14536,14952
17,254462,24829,28448,15582,15550
18,253641,24838,26517,14343,16919
19,262064,24849,28674,14833,16959
20,231516,24949,31118,14729,15187
21,252660,24817,23507,14826,15278
22,248389,24928,24376,14867,16507
23,251001,24985,26357,14841,15252
24,257106,24790,22234,14649,14632
25,246277,24844,25254,14405,14742
26,247189,24892,24635,14642,16285
27,248753,24922,23263,14449,16275
28,244684,24984,22553,14896,16179
29,255542,24906,24892,14164,15525
30,255926,24804,23948,14700,15029
31,241661,24940,24825,14425,14986
32,262068,24792,23979,14859,15112
33,254988,24856,28240,14758,16373
34,249076,24717,22851,14813,16046
35,252647,24946,23461,14209,15736
36,248496,24863,21524,14846,15545
37,243586,24943,25060,14858,15601
38,256302,24795,24864,14957,15489
39,254964,24923,24685,14419,15120
40,248848,25025,23975,14180,15260
41,246574,24957,25822,14340,15421
42,260167,24735,26258,14763,15265
43,255119,24821,21851,15146,15430
44,242379,24926,26020,14394,16674
45,255715,24947,23557,14982,15111
46,251902,24902,23626,14558,16027
47,246693,24929,24969,14592,15935
48,247213,24932,26895,14825,14874
49,245170,24835,29378,14698,15278
50,247914,24693,27482,14373,16043
51,250441,24825,23334,14624,15906
52,243762,24837,22277,14287,15620
53,250657,24956,34197,14590,15594
54,255899,24681,24418,14953,15334
55,238348,24816,23726,14312,15457
56,248000,24816,25461,14926,14978
57,249958,24913,25166,14538,15691
58,243890,25144,26912,16121,16088
59,248406,24925,27900,14644,16421
60,246953,24771,21741,14635,15237
61,256276,24909,23249,14753,15821
62,244588,24875,22717,14325,14858
63,255063,24904,21338,14302,15407
64,252526,24972,24149,15154,14639
65,244438,24899,22808,14867,16145
66,252572,24981,24583,14613,14803
67,247199,24879,31132,14661,15086
68,263372,24864,25205,14924,14827
69,257957,24892,21516,14807,14562
70,253771,24780,25249,14247,15344
71,264774,24894,23939,14460,15586
72,248676,24894,25203,14866,15706
73,256789,24872,23882,14162,16703
74,255036,25000,26238,15266,15377
75,252195,25045,26910,14522,14861
76,238594,24890,24314,14181,15516
77,244934,24792,22329,15134,14840
78,259404,24659,23510,14567,16015
79,243581,24938,24964,14380,14246
80,243186,24920,22583,15072,15245
81,242745,24900,21998,14236,15748
82,253060,24924,26955,14422,15292
83,246826,24967,28673,14469,15527
84,259430,24795,20562,14132,15330
85,253675,24804,23340,14358,15842
86,246322,25043,34181,13957,15831
87,246360,25066,25065,13830,14815
88,244772,24987,21854,14557,15026
89,255947,24894,24788,14176,14953
90,248843,24994,22867,14031,14992
91,247923,24774,25123,14531,14976
92,254727,25006,24055,14690,14931
93,251979,24812,24465,14511,15249
94,259585,24834,22202,13912,15650
95,257207,24834,23606,14678,15322
96,254019,24962,22937,14615,15459
97,242581,25094,35539,14556,16117
98,252733,25011,27635,14399,15211
99,250388,24921,24260,15156,14727
100,260171,24758,24790,14399,15640
