Observation Number, Case 0, Case 1, Case 2, Case 3, Case 4
1,30426860,847186,878392,300031,254487
2,30013262,848273,710434,258744,257340
3,30724648,847191,641145,262896,254059
4,30495365,848073,745918,273068,251941
5,30198206,848873,711718,269106,250963
6,30218274,847979,685002,266173,253790
7,30586844,847452,716139,276794,258035
8,30103470,847833,832805,272653,251710
9,30127288,847905,756057,263740,256621
10,30076698,847681,716678,283148,253169
11,30063915,847482,804477,272706,257832
12,30372334,847343,585316,274674,255133
13,30076490,848074,995470,276113,254357
14,30178410,848454,730093,277488,253584
15,30213399,848525,888080,265679,253439
16,30465598,847287,725251,280062,250658
17,30358825,848135,662068,271436,253178
18,30480417,848476,753110,269895,256264
19,30537507,847976,687510,267897,258774
20,30003241,848200,712844,281328,255191
21,30084354,848432,922065,271503,255588
22,30318718,847987,779148,273280,251588
23,30496908,847917,776354,278554,255798
24,30125310,848348,751721,278431,255811
25,30212886,848863,701075,269522,252795
26,30245984,848793,723864,279498,254967
27,30080856,848652,718948,275803,259632
28,30012002,848202,644650,268854,253474
29,30750584,847596,925940,274358,256787
30,30184184,847262,622453,277265,252786
31,30103343,849012,898193,265803,254483
32,30288282,846777,714658,274720,257614
33,30115987,847700,669254,269902,255720
34,31006971,848244,779332,261611,257393
35,30058937,847579,842085,277806,261478
36,30278235,847042,728881,267823,257188
37,30387192,846965,849309,269487,260791
38,30278048,847262,849719,280239,257565
39,29899709,848318,738962,265355,253202
40,30581082,849105,707676,272696,251168
41,30457773,847474,677740,264417,259500
42,30169745,847498,654269,266790,259392
43,30016598,847537,704312,264045,256103
44,30118471,848671,906479,270601,255550
45,30091534,847288,697867,273251,260900
46,30302314,848654,696904,273988,259678
47,30235853,847860,641726,273356,260921
48,30406070,847183,715428,281453,256255
49,30390806,847970,741618,268638,251554
50,30217413,848739,748182,275757,260852
51,30226496,848252,725828,273470,257472
52,30172705,846906,743256,274694,249872
53,30344882,848257,686194,273310,250999
54,30220079,847138,739792,264553,255444
55,30292493,848130,747316,279610,259036
56,30309468,849046,875647,273773,253335
57,30400180,847546,879377,268989,250712
58,30453931,848227,622572,263356,252842
59,30534494,847291,665045,278116,264455
60,30470008,847565,756121,276266,254596
61,30434314,847935,706058,282416,259737
62,30176370,847923,715067,273840,253497
63,30285629,847438,699861,262168,247957
64,30249676,848225,790066,271959,258427
65,30499360,847898,692936,272577,253025
66,30029523,848339,640699,273043,249129
67,30416226,848255,817440,276331,253877
68,30591005,848365,732367,284790,252494
69,30394672,847798,877103,281110,257483
70,30339015,847014,677060,279059,257738
71,30251379,848064,637449,277581,253350
72,30847866,847826,603486,264607,255179
73,30151409,847612,867248,268919,254771
74,30356042,847844,773137,273193,254388
75,30471361,848339,744951,263703,255287
76,29852388,848013,758104,276646,252053
77,30169051,848294,639850,274157,254938
78,30128212,847905,755354,275424,252509
79,30287465,847570,801679,269497,258544
80,30099586,848348,777308,267862,251493
81,30182363,847693,772922,262980,253124
82,30301159,848912,772292,266068,254903
83,30309052,849258,688391,269505,260406
84,30202722,848252,776550,277039,249642
85,30210332,849064,776537,266845,248681
86,30077366,847895,693480,266357,254512
87,30374744,847669,758652,276365,254454
88,30023484,849061,864484,260741,251920
89,30360046,847935,1071041,273500,250732
90,30407493,848665,694239,277420,257336
91,30062681,847853,754202,269357,256210
92,29750382,848347,800466,280570,255105
93,30240576,849167,718516,271025,258702
94,30272067,847487,669255,271141,257329
95,30452789,848334,852327,267978,261232
96,29896838,848973,857576,268577,249728
97,30316218,848302,621842,266409,253658
98,30133616,848061,820711,269978,255671
99,30282345,848430,636747,265637,256828
100,30265080,848538,785642,271468,259479
