Observation Number, Case 0, Case 1, Case 2, Case 3, Case 4
1,12507644,433742,327251,157634,147742
2,12267428,434573,383434,166001,148086
3,12312534,433567,326978,157039,154541
4,12307595,433671,371178,160158,149080
5,12140191,433565,297568,153804,148278
6,12367761,433710,374502,153120,150289
7,12194524,433676,483977,156307,149753
8,12244391,434035,390235,156635,153641
9,12387166,434074,415898,157940,150555
10,12157817,433856,325503,157011,149159
11,12111486,433661,374438,157320,150007
12,12193621,433566,371259,155180,153101
13,12247350,434188,423304,159878,152091
14,12199565,434366,416815,172456,154029
15,12238425,434585,473032,160955,152635
16,12079518,433667,355640,153938,155244
17,12192664,433908,346893,150912,147883
18,12495886,432679,406097,157063,147543
19,12265248,433841,453092,154312,152725
20,12248393,434567,376097,154763,146903
21,12277323,433995,397346,155982,152099
22,12212694,433847,428124,154731,150820
23,12287240,434368,443296,152242,150084
24,12365765,433343,389479,154785,148629
25,11990046,434345,398692,166288,146874
26,12241070,433995,357046,156102,148836
27,12358600,434391,332202,154487,151548
28,12061776,434109,478834,155921,151824
29,12209722,433406,335817,157940,152804
30,12310153,433666,402533,152979,154080
31,12188800,434295,383606,162576,150589
32,12226746,433420,416732,157421,148041
33,12320600,433806,350203,156315,152516
34,12200164,433712,493878,157012,153523
35,12220308,434061,482996,159794,151470
36,12125003,434087,411993,164177,146937
37,12237360,433772,415691,171890,150128
38,12192865,433963,383729,156285,153404
39,12242112,433805,427938,154638,151236
40,12264682,434239,520916,157816,152968
41,12135407,433906,375269,158223,151598
42,12218076,434188,405781,169888,151696
43,12224468,433967,387846,156844,150899
44,12352856,433743,440791,154479,150774
45,12146221,434173,362701,157986,149084
46,12305765,433810,351640,164155,150275
47,12326066,433845,448498,154199,151191
48,12016333,434329,322949,150223,150356
49,12347906,433443,443103,161926,151654
50,12292332,434255,410396,163196,147911
51,12240405,433781,424479,160893,153712
52,12200278,434271,365312,157375,153074
53,12226536,434107,346687,154497,154792
54,12266788,433816,587201,155233,150061
55,12389963,433772,360189,156534,151304
56,12086573,434067,389772,154286,153691
57,12198976,434065,404089,167302,151941
58,12347004,434035,415627,149896,153100
59,12238824,433588,399573,157372,152373
60,12361496,433774,530262,158430,148802
61,12380026,433733,327150,157043,147269
62,12296888,434140,425414,150949,149598
63,12273011,433755,307711,153916,150850
64,12311370,433924,368839,161657,148084
65,12484112,433494,341984,151235,148639
66,12226854,433443,355987,157857,149850
67,12280003,433893,333179,160832,155334
68,12291653,434409,478615,156233,155577
69,12237708,433888,376069,154321,152334
70,12207330,433558,342702,151740,154591
71,12266310,434064,379278,159289,150454
72,12303087,433945,349074,158752,152842
73,12204229,434075,518709,154052,150270
74,12297450,434146,404024,159005,152923
75,12382609,433881,387266,161904,155843
76,12314585,434249,329511,159385,149739
77,12212705,433662,420390,160964,153086
78,12196390,434510,371129,151087,150550
79,12185697,435033,515340,149595,149582
80,12474182,432961,331120,156417,153097
81,12281092,433876,399155,157514,149520
82,12230381,434585,324727,155364,150458
83,12228935,433900,412065,157397,150994
84,12310789,433975,356876,155612,150634
85,12417655,434249,377877,158629,152369
86,12416964,433190,377857,161644,150109
87,12299791,434206,400065,160930,149632
88,12103317,434482,426424,154403,148642
89,12300680,432752,339659,161536,152002
90,12041151,434545,362841,159866,153547
91,12232404,434165,382523,161609,149169
92,12197461,433884,563174,161220,152035
93,12414056,433818,404742,160351,149438
94,12284203,433423,359531,156074,150237
95,12306451,434214,369540,156920,151550
96,12266808,433894,372045,157314,154834
97,12260862,434089,379830,155126,150254
98,12347076,433663,351859,158459,151939
99,12367681,433778,376744,157138,154465
100,12304110,433741,343403,166874,154971
