Observation Number, Case 0, Case 1, Case 2, Case 3, Case 4
1,6190429,263536,239861,104534,100006
2,6163216,264019,231897,107242,102220
3,6339083,264244,231884,104389,103145
4,6162884,264024,273485,106838,104847
5,6286246,264180,230345,103686,105244
6,6348223,264418,210110,101861,100353
7,6242106,263390,248206,107196,98963
8,6233577,264142,246585,104216,102753
9,6231623,264132,219400,101117,103950
10,6226890,263362,241778,104549,102472
11,6291264,263957,219151,106900,102604
12,6297537,263931,220365,103163,100131
13,6285081,264291,268620,106289,101144
14,6258835,263612,268104,106723,105127
15,6285233,263826,225532,109585,98943
16,6341133,263971,220786,106271,101673
17,6262453,263842,244836,106259,101916
18,6274165,264170,215467,105205,101933
19,6247349,263637,247564,102514,102824
20,6212396,263450,285194,106921,103700
21,6154347,263496,223139,110482,100932
22,6177183,264122,203090,106861,100707
23,6245040,263716,267124,109189,102228
24,6215057,263683,233526,113606,102196
25,6263722,263816,281102,104958,105308
26,6187416,264137,328831,104941,98211
27,6232293,263948,209799,105473,102238
28,6258402,263822,252293,106371,105648
29,6193864,264382,263684,101667,103567
30,6143781,263984,222415,104513,103094
31,6210190,263387,224380,106795,104788
32,6112813,264257,244794,104987,102633
33,6109533,263794,227711,104715,103424
34,6227378,263857,247308,107647,103917
35,6234441,263861,236197,110662,102674
36,6205519,263594,277273,104450,101563
37,6326926,263413,235913,101767,100851
38,6267056,264115,232373,102478,99386
39,6154924,263751,218850,110857,104015
40,6278566,264256,257155,106272,103184
41,6173299,263935,248635,105291,100500
42,6243820,263939,225893,102147,101612
43,6186998,264027,197547,110456,100935
44,6255535,263945,313823,107479,103148
45,6283068,263994,240799,103092,103958
46,6287398,263675,273479,105711,102826
47,6209070,263541,261461,103502,100690
48,6318023,263286,246402,107937,101640
49,6175806,264040,244261,106367,102133
50,6268852,263406,210131,108401,108187
51,6239078,263584,213689,103284,101360
52,6249097,263904,258369,106713,100120
53,6292765,264254,210515,105724,104132
54,6251317,264070,236233,103489,103513
55,6314648,263570,218329,107807,103438
56,6160560,263770,227637,103917,106588
57,6237310,263677,253437,107562,103973
58,6190860,263723,316183,102552,100437
59,6272469,263820,210086,107552,102138
60,6301714,264092,296230,104849,99973
61,6213065,263504,194275,104712,104294
62,6292077,264242,251406,103800,103638
63,6316849,263564,251468,107723,100156
64,6326803,263806,258152,106012,102705
65,6254973,264199,216459,105042,102832
66,6286157,263845,230961,113150,103055
67,6278933,263581,231257,105699,101041
68,6280544,263842,207511,109958,99780
69,6304097,263701,244291,105397,103661
70,6231027,263782,201183,102783,101767
71,6362361,264186,212276,102343,102546
72,6221724,263705,209875,105235,103842
73,6341941,263462,291734,107737,101969
74,6148259,264160,295878,106010,101218
75,6183681,263649,219107,104047,105018
76,6210674,263912,214827,102936,104548
77,6284257,263719,240531,100979,102575
78,6211906,263605,218493,104633,102148
79,6195685,264254,250631,108862,103789
80,6237207,263814,253740,107266,101676
81,6200873,264099,265397,105568,104567
82,6428379,263526,243321,104178,100478
83,6215680,263759,237124,105877,103696
84,6291139,263964,242384,108181,102439
85,6279626,263756,295292,106034,102970
86,6211204,263282,204745,101030,104516
87,6341009,263500,236830,103353,101199
88,6179858,263913,199484,105364,102221
89,6271623,264408,227711,107606,101200
90,6269738,263907,220717,106565,100082
91,6296199,264145,276979,100144,103302
92,6223797,263939,221135,101693,102691
93,6352167,263581,248293,105764,103445
94,6279877,264204,213986,102422,103517
95,6253956,263427,280098,109201,100979
96,6323855,263543,209224,105343,101936
97,6256304,263536,201462,105552,100429
98,6221747,263821,226378,104253,103480
99,6256904,264249,271069,100294,104755
100,6195725,263703,251893,102553,101681
