Observation Number, Case 0, Case 1, Case 2, Case 3, Case 4
1,2243594,124348,108279,55530,57885
2,2242258,124544,124187,55105,57193
3,2255696,124206,116765,56325,54516
4,2250405,124179,113798,56634,56691
5,2284380,124476,108617,55516,57411
6,2289491,123796,110713,57122,58636
7,2263266,124222,118903,59954,55945
8,2285250,124316,114417,54432,56599
9,2231935,124675,97912,56204,57306
10,2230756,124025,113389,55232,55992
11,2218249,124064,120401,56116,54654
12,2239996,124366,130768,55941,56600
13,2242897,124494,109556,55798,56761
14,2240018,124425,111282,58035,55293
15,2240860,124274,109028,54809,56350
16,2249511,124351,117049,55406,59369
17,2254061,124435,111268,55422,57349
18,2292202,124148,108532,55592,56301
19,2239971,124270,117643,56218,56909
20,2267516,124342,103055,56600,57429
21,2267160,124249,100888,55211,55258
22,2275562,124512,135704,55738,58182
23,2210967,124345,135526,54528,54586
24,2225678,124328,121898,56151,58307
25,2263905,124193,122383,57519,57120
26,2253060,124306,111179,59095,55803
27,2231587,124342,127116,56908,55372
28,2252631,124038,102475,57883,57667
29,2321264,123890,108770,54414,57448
30,2235716,124463,107701,55101,56910
31,2267148,124079,115800,56190,56164
32,2288166,124252,115253,57353,58746
33,2293385,124369,118278,59633,56281
34,2257036,123740,109781,57162,55512
35,2260904,124286,102772,54819,57207
36,2255537,124177,116237,56285,56223
37,2266795,124695,125163,56380,54530
38,2207167,124070,123436,55391,56833
39,2268359,124243,120474,56299,58149
40,2267581,124081,110916,56556,57716
41,2201745,124513,124325,58518,55739
42,2273107,123894,124701,56749,56733
43,2261306,124386,98886,56874,56166
44,2223820,124386,99137,58025,56521
45,2308166,124428,107236,55732,56622
46,2247302,124360,118751,59160,58239
47,2273303,124210,128310,55648,57346
48,2282358,124148,119871,55799,56872
49,2223166,124548,147994,54920,54807
50,2238266,124132,97557,54567,57861
51,2241453,124292,110406,57772,56757
52,2223962,124719,110566,58735,53989
53,2272651,124065,110420,56549,54921
54,2266582,124057,115671,56561,55854
55,2277907,124320,127781,56415,57509
56,2246252,124373,104673,57703,58381
57,2274590,123835,113991,58450,57568
58,2264397,124392,112353,55693,57870
59,2250226,124108,141432,56710,58714
60,2255060,124306,101136,56751,55240
61,2223687,123939,140876,56540,57207
62,2232073,124136,107541,56247,57530
63,2294448,124265,129708,57573,55516
64,2237250,124382,107573,57592,56031
65,2287735,124305,125310,56063,56200
66,2293329,124319,115183,56299,56385
67,2240473,124579,129424,55606,58063
68,2227414,124227,136507,59876,58525
69,2281118,124540,121925,55805,56473
70,2260281,124264,111638,55271,55271
71,2247776,124388,100675,56115,56068
72,2267561,124473,126470,57962,58302
73,2256842,124445,99559,57153,54823
74,2293375,124466,116252,56423,55601
75,2254893,124148,108892,57524,56077
76,2265427,124125,119036,57945,56886
77,2223002,124426,132125,56291,53691
78,2256196,123896,114558,55298,56117
79,2283007,124220,118567,56393,55706
80,2248145,124581,127646,55177,55724
81,2260742,124413,112223,56549,55922
82,2205298,124549,105753,57359,57662
83,2256336,124266,119293,57223,56357
84,2231342,124404,103864,58030,57554
85,2238700,124419,111142,54054,56316
86,2260957,124370,108982,56040,57440
87,2221797,124241,106495,57065,56133
88,2264266,124147,101837,56146,56183
89,2246007,124427,112832,55056,59356
90,2242152,124400,146053,55452,58020
91,2268959,124290,124106,58595,55621
92,2250248,124085,97969,55110,57743
93,2223816,124272,96963,55537,57020
94,2234518,124034,104421,56863,54947
95,2265580,124068,97341,55422,55524
96,2255327,124322,106224,56683,56711
97,2197326,124178,140387,54898,56811
98,2267635,124288,136482,57944,57963
99,2246192,124088,115212,56972,56531
100,2250097,124470,101218,57477,57849
