Observation Number, Case 0, Case 1, Case 2, Case 3, Case 4
1,42018495,1086974,956817,329690,308784
2,42187385,1086223,865247,328105,307267
3,42248276,1087098,905167,335336,311298
4,42388106,1087470,1049525,321039,316378
5,42612705,1085591,1222450,339545,313626
6,42088747,1087702,880873,336276,303255
7,42949269,1084659,878667,338633,303190
8,42203190,1086430,1186094,323087,307061
9,42274175,1086409,1234332,334053,310989
10,42397550,1086474,832105,331782,309555
11,41932407,1086436,835036,324450,305763
12,42835029,1085323,741809,336024,307694
13,42054999,1086825,993999,336274,314001
14,41799024,1086740,1096065,338291,303986
15,42100733,1086013,933444,361066,309987
16,42361738,1085866,812742,328410,318326
17,41818816,1087460,893276,358397,307103
18,42152306,1086062,981775,332324,314990
19,42602356,1085912,988919,335884,309825
20,42416337,1087611,935566,340019,315091
21,42212419,1088049,1125633,352193,308590
22,41776948,1086224,1060444,337043,305267
23,42075345,1086727,960796,319405,313750
24,41851887,1085857,923150,330258,307877
25,42462804,1087280,1056176,324219,312259
26,41696988,1086719,1011786,327573,311540
27,42122027,1086031,1100257,333492,311466
28,42555759,1086443,855452,336892,312117
29,42065692,1087295,967872,337428,312653
30,42300347,1088221,840787,329370,310233
31,42801111,1085467,811879,321022,305315
32,42423245,1086902,801996,328378,314782
33,42707337,1086932,810395,321930,309918
34,42587821,1085319,845798,330904,303964
35,42495148,1086182,832494,328943,308198
36,42686511,1087352,816456,337952,308862
37,42259451,1087394,829583,347823,310183
38,41867038,1085857,855675,327001,307856
39,41972877,1086654,1013699,326215,309631
40,42357890,1087059,1287123,336884,307643
41,41929430,1087411,1180397,326099,310098
42,42079474,1086516,991471,334256,311798
43,42357163,1087239,830604,332706,312510
44,42309684,1087132,1058053,333838,305954
45,42324570,1087272,852021,318624,307979
46,42513704,1086423,1145359,336075,317934
47,42195739,1087221,829837,327571,305359
48,42565201,1085429,864261,339570,312037
49,42534490,1087256,1025031,337563,311474
50,42484119,1086875,1129728,340602,310568
51,42105414,1086335,999670,325990,308217
52,42212123,1086584,891590,348956,308560
53,42019220,1088191,819259,326957,310144
54,42499900,1086195,1225374,327646,311378
55,42558140,1086251,913577,341493,312088
56,42691911,1086791,1176771,344734,310575
57,42566922,1087120,836475,333712,307006
58,42143542,1086532,805704,327062,313786
59,42298847,1087530,956569,319628,310906
60,42396939,1086355,956353,336226,317138
61,42617740,1086652,770614,333077,309286
62,42032379,1085984,903122,324335,310281
63,42323995,1086778,1054323,340250,308863
64,42432819,1087283,969570,318970,307297
65,42450867,1086668,1157637,340424,304617
66,42315052,1086583,769652,327935,313104
67,42375831,1086096,1010278,339252,309799
68,42695144,1086520,815381,346611,308581
69,42301017,1085824,846429,336199,311324
70,41543535,1086945,775430,321590,306640
71,42449094,1086881,998955,334682,307288
72,42018792,1088373,845809,361057,308334
73,42328261,1085940,1353489,337611,311629
74,42389689,1085770,1185729,341165,312323
75,42460823,1086541,977703,339583,304890
76,41978202,1085155,761759,353347,311724
77,42329620,1086762,885756,344935,312038
78,42138060,1087017,939717,319191,302889
79,42243763,1085273,992083,337564,313617
80,42288601,1087090,817597,336517,309727
81,42113979,1085636,814098,333518,310036
82,42114396,1087712,891862,353064,309010
83,42160989,1087173,929765,323085,315623
84,42389403,1086270,964510,326816,313860
85,42434349,1087058,1139636,330567,311028
86,42050014,1085828,918206,319571,298972
87,41888739,1086345,907043,340153,310191
88,42502397,1086831,1175972,328654,312078
89,41879382,1085626,902147,319303,310280
90,42073288,1087502,941048,332611,312675
91,42734233,1086152,1015930,325880,310803
92,42430246,1086639,1061624,340246,308522
93,42417839,1086392,880168,321058,309511
94,42052360,1086721,921009,344198,312359
95,42125427,1086517,785237,330257,312575
96,42292127,1086045,866242,330363,311138
97,41973405,1086038,966763,341162,305990
98,42261454,1086709,1035857,335671,316133
99,42176721,1087264,1116123,329706,305922
100,42541274,1086402,977676,331312,308954
